split,force_mae,force_rmse,force_flat_r2,force_mean_per_step_r2,energy_mae,energy_rmse,energy_r2
train,0.8040286898612976,1.419822096824646,0.9882112773248586,0.9826157219859918,0.015388156287372112,0.020022129639983177,0.9969322655928952
val,1.3202134370803833,2.157352924346924,0.9762769510859277,0.9517711971664944,0.04169795662164688,0.05909907817840576,0.9737689944678254
test,0.8690363764762878,1.6021021604537964,0.9802879340980366,0.9661424144645104,0.02010858617722988,0.027464555576443672,0.9897985286319656
