split,force_mae,force_rmse,force_flat_r2,force_mean_per_step_r2,energy_mae,energy_rmse,energy_r2
train,0.6092273592948914,1.0397554636001587,0.9952753976204766,0.9928974554435639,0.012853576801717281,0.016856685280799866,0.998466760982888
val,1.2927770614624023,2.2280290126800537,0.9822506462878,0.964313508055588,0.03885501250624657,0.058083582669496536,0.9810563793606691
test,1.0781410932540894,1.8764750957489014,0.9729580907636214,0.9452227297011906,0.0297086201608181,0.04254600405693054,0.97551865732281
