step,loss,mean_energy,std_energy,robust_score,vol_ratio,area_min,area_max
0,-1.8498047590255737,1.9096763134002686,0.1710614264011383,1.8498047590255737,1.000006914138794,0.25002750754356384,2.999972343444824
50,-2.044562578201294,2.0990676879882812,0.13517972826957703,2.0517547130584717,1.0001856088638306,0.2500130534172058,2.9999849796295166
100,-2.098846197128296,2.1585423946380615,0.13108214735984802,2.112663745880127,1.0001505613327026,0.250006765127182,2.9999914169311523
150,-2.111546039581299,2.1728549003601074,0.12817420065402985,2.1279938220977783,1.0001192092895508,0.250004380941391,2.9999945163726807
200,-2.120537757873535,2.1831583976745605,0.12791717052459717,2.138387441635132,1.0001349449157715,0.25000301003456116,2.9999961853027344
250,-2.1276352405548096,2.1902999877929688,0.1265329271554947,2.1460134983062744,1.0001404285430908,0.250002384185791,2.999997138977051
300,-2.134291172027588,2.196591377258301,0.1240069568157196,2.153188943862915,1.0001288652420044,0.2500019073486328,2.99999737739563
350,-2.1418375968933105,2.204348087310791,0.12116400897502899,2.161940574645996,1.0001094341278076,0.2500016391277313,2.999997615814209
400,-2.1428933143615723,2.2054507732391357,0.12089419364929199,2.163137912750244,1.0000944137573242,0.2500015199184418,2.999998092651367
450,-2.1462273597717285,2.2088265419006348,0.12040381878614426,2.166685104370117,1.0001285076141357,0.250001460313797,2.9999983310699463
500,-2.1479783058166504,2.2104735374450684,0.11965203285217285,2.168595314025879,1.0000691413879395,0.2500012516975403,2.9999983310699463
