step,loss,mean_energy,std_energy,robust_score,vol_ratio,area_min,area_max
0,-1.826938271522522,1.9011685848236084,0.2120862752199173,1.8269383907318115,1.0000090599060059,0.25002750754356384,2.999972343444824
50,-2.052196502685547,2.1151180267333984,0.1598331332206726,2.059176445007324,1.0001851320266724,0.25001391768455505,2.9999852180480957
100,-2.108318328857422,2.173107862472534,0.14794084429740906,2.121328592300415,1.0002747774124146,0.25000840425491333,2.9999918937683105
150,-2.1215085983276367,2.1868863105773926,0.14331954717636108,2.1367244720458984,1.000292420387268,0.2500057518482208,2.9999945163726807
200,-2.1251273155212402,2.1906681060791016,0.1414615660905838,2.1411566734313965,1.000292420387268,0.2500041127204895,2.9999961853027344
250,-2.1302437782287598,2.19531512260437,0.13868555426597595,2.146775245666504,1.000262975692749,0.2500031590461731,2.999997138977051
300,-2.1461217403411865,2.2092957496643066,0.1299852579832077,2.1638009548187256,1.0002189874649048,0.25000250339508057,2.99999737739563
350,-2.1647441387176514,2.227961540222168,0.12258020043373108,2.185058355331421,1.0001800060272217,0.2500019669532776,2.999997615814209
400,-2.169060230255127,2.2327632904052734,0.1217510923743248,2.190150499343872,1.0001764297485352,0.25000160932540894,2.999998092651367
450,-2.171288013458252,2.2352023124694824,0.12082322686910629,2.1929142475128174,1.0001986026763916,0.25000131130218506,2.9999983310699463
500,-2.171867847442627,2.2356691360473633,0.12019199877977371,2.1936018466949463,1.0001769065856934,0.25000113248825073,2.9999985694885254
