step,loss,mean_energy,std_energy,robust_score,vol_ratio,area_min,area_max
0,-1.860971450805664,1.9252784252166748,0.18373419344425201,1.860971450805664,1.0000065565109253,0.25002750754356384,2.999972343444824
50,-2.0590386390686035,2.1159234046936035,0.13866887986660004,2.0673892498016357,1.0000946521759033,0.25001391768455505,2.9999852180480957
100,-2.114692211151123,2.1745309829711914,0.1297779679298401,2.1291086673736572,1.0001180171966553,0.25000739097595215,2.9999914169311523
150,-2.1272642612457275,2.1885786056518555,0.12850379943847656,2.1436023712158203,1.0001236200332642,0.250004380941391,2.9999945163726807
200,-2.1331331729888916,2.1945319175720215,0.1274084746837616,2.1499390602111816,1.0001115798950195,0.25000298023223877,2.9999961853027344
250,-2.1397101879119873,2.2004446983337402,0.12498469650745392,2.1567001342773438,1.0001059770584106,0.2500024139881134,2.999997138977051
300,-2.1471030712127686,2.207540512084961,0.12263403087854385,2.164618492126465,1.000144362449646,0.2500021159648895,2.99999737739563
350,-2.151465892791748,2.212322950363159,0.12066992372274399,2.170088529586792,1.0000807046890259,0.2500016987323761,2.999997615814209
400,-2.1530368328094482,2.214235305786133,0.12077657878398895,2.1719634532928467,1.000064730644226,0.25000134110450745,2.999997615814209
450,-2.1543588638305664,2.215867042541504,0.12071416527032852,2.173617124557495,1.000090479850769,0.25000107288360596,2.999998092651367
500,-2.1552317142486572,2.2167773246765137,0.12011238187551498,2.1747379302978516,1.000082015991211,0.2500007748603821,2.999998092651367
