step,loss,mean_energy,std_energy,robust_score,vol_ratio,area_min,area_max
0,-1.8590315580368042,1.9068773984909058,0.1367025375366211,1.8590315580368042,1.0000048875808716,0.25002750754356384,2.999972343444824
50,-2.0499775409698486,2.0989861488342285,0.1172686219215393,2.0579421520233154,1.0000892877578735,0.2500133812427521,2.9999849796295166
100,-2.107419490814209,2.1627109050750732,0.11212068796157837,2.1234686374664307,1.0001143217086792,0.25000759959220886,2.9999911785125732
150,-2.118546724319458,2.1758556365966797,0.11190103739500046,2.136690378189087,1.0001192092895508,0.25000494718551636,2.9999945163726807
200,-2.123246192932129,2.1812028884887695,0.11165659129619598,2.142122983932495,1.0001226663589478,0.25000354647636414,2.9999961853027344
250,-2.126594066619873,2.1850991249084473,0.1119067445397377,2.1459317207336426,1.0001497268676758,0.2500027120113373,2.999997138977051
300,-2.1316440105438232,2.1903486251831055,0.11102044582366943,2.151491403579712,1.000135898590088,0.25000202655792236,2.99999737739563
350,-2.1365604400634766,2.195894956588745,0.10937763005495071,2.1576128005981445,1.0001029968261719,0.2500017285346985,2.999997615814209
400,-2.1377322673797607,2.1971595287323,0.10930558294057846,2.158902645111084,1.000035047531128,0.2500014007091522,2.999998092651367
450,-2.138246774673462,2.197782039642334,0.10929682105779648,2.1595282554626465,0.9999837875366211,0.2500011920928955,2.999998092651367
500,-2.1385610103607178,2.1982085704803467,0.10926123708486557,2.1599671840667725,1.0001258850097656,0.25000104308128357,2.999998092651367
